trade_date,symbol,pclose,close,pct_change
2021-06-23,TRIPPLEG,0.7,0.7,
2021-06-23,UACN,9.8,9.75,-0.51
2021-06-23,UAC-PROP,0.81,0.81,
2021-06-23,UBA,7.3,7.3,-0.68
2021-06-23,UBN,5.8,5.8,
2021-06-23,UCAP,6.17,6.17,-1.13
2021-06-23,UHOMREIT,36.6,36.6,
2021-06-23,UNILEVER,13.2,13.2,
2021-06-23,UNITYBNK,0.58,0.58,
2021-06-23,UPDCREIT,5.65,5.65,
2021-06-23,UPL,1.68,1.52,-9.52
2021-06-23,VERITASKAP,0.24,0.25,4.17
2021-06-23,VITAFOAM,13.6,14.25,4.78
2021-06-23,WAPCO,21.0,21.0,
2021-06-23,WAPIC,0.55,0.54,-1.82
2021-06-23,WEMABANK,0.57,0.57,-1.75
2021-06-23,ZENITHBANK,23.8,23.5,-1.26
2021-06-24,ABCTRANS,0.37,0.37,
2021-06-24,ACADEMY,0.32,0.32,
2021-06-24,ACCESS,8.35,8.3,-0.6
2021-06-24,AFRINSURE,0.2,0.2,
2021-06-24,AFRIPRUD,6.3,6.2,-1.59
2021-06-24,AFROMEDIA,0.2,0.2,
2021-06-24,AIICO,1.08,1.0,-7.41
2021-06-24,AIRTELAFRI,678.0,678.0,
2021-06-24,ARDOVA,15.5,15.5,
2021-06-24,BERGER,7.7,7.7,
2021-06-24,BETAGLAS,52.95,52.95,
2021-06-24,BOCGAS,10.55,10.55,
2021-06-24,BUACEMENT,70.0,71.5,2.14
2021-06-24,CADBURY,8.0,8.0,
2021-06-24,CAP,19.0,19.0,
2021-06-24,CAVERTON,1.81,1.81,
2021-06-24,CHAMPION,2.05,2.0,-2.44
2021-06-24,CHAMS,0.21,0.2,-4.76
2021-06-24,CILEASING,4.75,4.75,
